,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,WDS(code),pmag,prot,origin
104,HD13931,Gaia DR3 351537889154226816,HD13931,HIP10626,-,TIC292851928,-,-,-,G0,PM*,34.1974,43.773,-,,19.4,THE_stellar(RHK+Mamajek)
105,HD4903,Gaia DR3 361079760296360064,HD4903,HIP4005,-,TIC53701382,-,-,-,F8,PM*,12.8537,32.6571,-,,9.7,THE_stellar(RHK+Mamajek)
106,HD3765,Gaia DR3 369092520004831232,HD3765,HIP3206,GJ28,TIC424009747,-,-,-,K2V,PM*,10.2053,40.1872,-,,41.9,THE_stellar(RHK+Mamajek)
106,HD3765,Gaia DR3 369092520004831232,HD3765,HIP3206,GJ28,TIC424009747,-,-,-,K2V,PM*,10.2053,40.1872,-,14.0,44.9,THE_YARARA
107,HD4322,Gaia DR3 369194534069560320,HD4322,HIP3597,-,TIC115850723,-,-,-,F7IV/V,PM*,11.5135,40.8089,-,,10.5,THE_stellar(RHK+Mamajek)
108,HD6611A,Gaia DR3 371518695489690496,HD6611A,HIP5276,-,TIC407339750,-,-,J01075+4116A,F5,SB*,16.8697,41.2589,01075+4116,,9.8,THE_stellar(RHK+Mamajek)
109,HD6963,Gaia DR3 373208954099200768,HD6963,HIP5521,-,TIC196692982,-,-,J01107+4256A,G7V,BY*,17.6746,42.9318,01107+4256,,11.6,THE_stellar(RHK+Mamajek)
110,HD7590,Gaia DR3 373349657227961472,HD7590,HIP5944,-,TIC196841006,-,-,J01165+4256A,G0-V(k),BY*,19.1219,42.9394,01165+4256,,5.3,THE_stellar(RHK+Mamajek)
110,HD7590,Gaia DR3 373349657227961472,HD7590,HIP5944,-,TIC196841006,-,-,J01165+4256A,G0-V(k),BY*,19.1219,42.9394,01165+4256,,5.26,THE_VSINI
111,HD5065,Gaia DR3 374163192752986240,HD5065,HIP4127,-,TIC283546449,-,-,-,G0,PM*,13.2156,40.2456,-,,13.1,THE_stellar(RHK+Mamajek)
112,HD5129,Gaia DR3 375707319395404928,HD5129,HIP4205,-,TIC196234276,-,-,-,G0,SB*,13.4191,43.3634,-,,19.2,THE_stellar(RHK+Mamajek)
113,HD1562,Gaia DR3 379582273249916416,HD1562,HIP1598,-,TIC194531699,-,-,J00200+3814A,G1V,PM*,5.0017,38.2274,00200+3814,,13.5,THE_stellar(RHK+Mamajek)
115,HD3079,Gaia DR3 390900439790625664,HD3079,HIP2712,GJ9016,TIC240644651,-,-,J00345+4755A,F8,PM*,8.6238,47.9155,00345+4755,,12.9,THE_stellar(RHK+Mamajek)
117,HD8907,Gaia DR3 396341196983414272,HD8907,HIP6878,-,TIC191770861,-,-,-,F8,PM*,22.1432,42.2677,-,,3.42,THE_VSINI
117,HD8907,Gaia DR3 396341196983414272,HD8907,HIP6878,-,TIC191770861,-,-,-,F8,PM*,22.1432,42.2677,-,,1.8,THE_stellar(RHK+Mamajek)
118,HD10211,Gaia DR3 405434609118418560,HD10211,HIP7855,-,TIC309130111,-,-,-,F8,*,25.2527,49.104,-,,6.2,THE_stellar(RHK+Mamajek)
119,HD10556,Gaia DR3 409293585696641920,HD10556,HIP8109,-,TIC71852020,-,-,-,F8,PM*,26.0586,54.8864,-,,13.6,THE_stellar(RHK+Mamajek)
120,HD8054,Gaia DR3 409909484005053440,HD8054,HIP6306,-,TIC241018215,-,-,-,F5,SB*,20.2646,51.9837,-,,12.5,THE_stellar(RHK+Mamajek)
121,HD8004,Gaia DR3 410846061755266816,HD8004,HIP6285,-,TIC332575186,-,-,-,G0,PM*,20.1539,54.9624,-,,8.6,THE_stellar(RHK+Mamajek)
