,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,SPTP,OBTP,source_id_dr2,source_id_dr3,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Semi-Amplitude_σ_RV_total [m/s],HZ Detection Limit [M_Earth],Semi-Amplitude_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_granulation [m/s],σ_p-mode [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia Spectral type,HD Number,GJ Number,HIP Number,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),Distance [pc],HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score,Rank_2ES
942,HD96574,Gaia DR3 3968325657226210048,HD96574,HIP54383,-,TIC77072856,-,-,F9V,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,HD100339,Gaia DR3 3974220242141965056,HD100339,HIP56321,-,TIC462539054,-,-,F7V,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,HD99505,Gaia DR3 3980413791141148672,HD99505,HIP55868,-,TIC3902250,-,-,G5,HighPM*,3.9804137911411487e+18,3.9804137911411487e+18,171.7633492256689,21.8515120044475,7.447334289550781,7.447334289550781,7.751453876495361,6.926263809204102,0.8251900672912598,30.78829357045923,5608.6636,0.99023604,0.81556004,0.89827806,1.233116384501227,502.5508373250474,0.1580096907677344,1.952815065734043,0.0683517657685801,0.8447479221930358,0.3596075001380502,0.7406507222261045,0.5651886065302635,0.8313094659025027,1.36617505550055,4.3942,,,Not found,F,HD 99505,,55868.0,PM*,GAIA,G5,G5,32.4798773829895,0.0,0.0,0.0,0.0,0.0,56.0
945,51LMi,Gaia DR3 3996424359773549568,HD96094,HIP54196,-,TIC393790653,-, 51 LMi,G0,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,HD102357,Gaia DR3 4004194097346057728,HD102357,HIP57488,-,TIC98350165,-,-,F7V,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,HD108944,Gaia DR3 4012531487861716352,HD108944,HIP61072,-,TIC99303738,-,-,-,SB*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,HD100067,Gaia DR3 4025216411776679808,HD100067,HIP56186,-,TIC144380039,-,-,F9,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,61UMa,Gaia DR3 4025850731201819392,HD101501,HIP56997,GJ434,TIC101641846,-, 61 UMa,G8V,HighPM*,4.02585073120182e+18,4.02585073120182e+18,175.2625005061838,34.19993957543697,5.110995292663574,5.110995292663574,5.487189292907715,4.581153869628906,0.9060354232788086,104.4251704149638,5394.317,0.87211156,0.6305987,0.9092278,1.100763354678933,451.6460182989991,0.1464161018834253,1.604456099964749,0.021145468643884,0.2317161549575018,0.1112727707031176,0.7540326758867998,0.5186471434285413,0.7704783283122388,1.160256273263031,4.4601,-4.58121246332,6.097998467539683,HD_number_match,G,HD 101501,GJ 434,56997.0,PM*,GAIA,G8V,G8V,9.576235269966132,1.0,0.0,0.0,0.0,1.0,104.0
950,HD104956,Gaia DR3 4027326928641456256,HD104956,HIP58940,-,TIC359030908,-,-,F8,HighPM*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,HD103095,Gaia DR3 4034171629042489088,HD103095,HIP57939,GJ451,TIC309599261,-,-,K1V,ChemPec*,4.034171629042489e+18,4.034171629042489e+18,178.2673532081727,37.69282694689086,6.380290821938515,6.198501586914062,6.607421875,5.605772495269775,1.001649379730225,109.0296399704668,5043.2183,0.7495389,0.24280427,0.7436482,0.7000457906870978,247.0790069248813,0.1132436404867624,0.9174451951501276,0.0314317571633078,0.2546448918513286,0.1655056765690507,0.5630332014927873,0.3411914972751889,0.5962907271943156,1.822600914437338,4.6271,-4.89988125338,1.80383628781387,HD_number_match,G,HD 103095,GJ 451,57939.0,Pe*,GAIA,K1V_Fe-1.5,K1V,9.171817867791482,1.0,0.0,0.0,0.0,1.0,121.0
