,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,distance,vmag,PLATO
345,HD133725,Gaia DR3 1295674883108568704,HD133725,HIP73765,-,TIC20182165,-,-,-,F8,*,226.1813,38.6052,50.307,7.507,0
346,HD149890,Gaia DR3 1312210782076778624,HD149890,HIP81312,-,TIC57011334,-,-,-,F8V,PM*,249.1083,30.9417,38.457,7.113,0
347,HD151288,Gaia DR3 1314438839310796800,HD151288,HIP82003,GJ638,TIC224329387,-,-,-,K7.5Ve,PM*,251.2765,33.5092,9.846,8.1,0
348,HD145729,Gaia DR3 1316920711932740992,HD145729,HIP79327,-,TIC236343611,-,-,-,F8,PM*,242.8489,28.4385,44.283,7.59,0
349,HD146946,Gaia DR3 1319438043804452352,HD146946,HIP79837,-,TIC17618172,-,-,J16178+3148AB,F9V,**,244.4415,31.8044,28.984,6.858,0
350,HD145645,Gaia DR3 1321957952654963968,HD145645,HIP79285,-,TIC17466464,-,-,-,G5,PM*,242.7251,30.9854,55.942,7.42,0
351,HD143761,Gaia DR3 1323427759184545536,HD143761,HIP78459,GJ606.2+GJ9537,TIC458494003,-,15CrB+rhoCrB,J16010+3318A,G0+VaFe-1,PM*,240.2611,33.3035,17.511,5.408,0
352,HD146362,Gaia DR3 1328866562170960384,HD146362,-,GJ615.2B+GJ9550B,TIC17542166,-,17CrBB+sigCrBB+sig01CrB,J16147+3352B,G1V,PM*,243.6683,33.8575,22.658,5.183,0
353,HD146361,Gaia DR3 1328866562170960512,HD146361,-,GJ615.2A+GJ9550A,TIC17542164,-,17CrBA+sigCrBA+sig02CrB,J16147+3352A,F6V,SB*,243.6702,33.8586,22.698,5.23,0
354,HD147044,Gaia DR3 1329002145698389760,HD147044,HIP79862,-,TIC17617323,-,-,-,G0V,PM*,244.5245,34.4828,37.694,7.5,0
355,HD157214,Gaia DR3 1333760419707327744,HD157214,HIP84862,GJ672,TIC9728611,-,72Her+wHer,J17207+3228A,G0V,RG*,260.1649,32.4677,14.586,5.392,0
356,HD155060,Gaia DR3 1334288219648212352,HD155060,HIP83827,-,TIC21832928,-,-,J17079+3206A,F8,MS*,256.9826,32.1055,36.672,7.221,0
357,HD155358,Gaia DR3 1334643739861016832,HD155358,HIP83949,-,TIC21897561,-,-,-,G0,PM*,257.3942,33.3559,43.628,7.28,0
358,HD159222,Gaia DR3 1335880415564253312,HD159222,HIP85810,GJ679,TIC39464221,-,-,-,G1V,PM*,263.0041,34.2712,24.203,6.544,0
359,HD160245,Gaia DR3 1342074239441776256,HD160245,HIP86234,-,TIC18178958,-,-,-,G0,SB*,264.337,35.7991,65.655,7.56,0
360,HD161163,Gaia DR3 1342735149009387136,HD161163,HIP86642,-,TIC256003233,-,-,J17422+3804AB,G0,SB*,265.5552,38.0707,40.374,7.262,0
361,HD162826,Gaia DR3 1344497769227698432,HD162826,HIP87382,-,TIC116246139,-,-,-,F8V,*,267.8084,40.0725,33.258,6.566,1
362,HD153970,Gaia DR3 1359603267994469632,HD153970,HIP83222,-,TIC115621918,-,-,-,F8,PM*,255.1202,45.7788,46.417,7.48,0
363,HD154345,Gaia DR3 1359938520253565952,HD154345,HIP83389,GJ651,TIC198562505,-,-,-,G9,PM*,255.6517,47.0819,18.27,6.76,1
364,HD159062,Gaia DR3 1362295082910131200,HD159062,HIP85653,GJ4010,TIC270258076,-,-,J17303+4724A,G9V_Fe-0.8,SB*,262.5684,47.4022,21.652,7.23,1
365,HD160506,Gaia DR3 1362368578390231936,HD160506,HIP86302,-,TIC164305613,-,-,-,G0,PM*,264.5157,45.5574,59.356,7.5,1
366,HD160291,Gaia DR3 1366853555039564544,HD160291,HIP86173,-,TIC321601835,-,-,J17366+4827AB,F6V,**,264.1417,48.4578,57.926,7.461,1
367,HD139324,Gaia DR3 1374525328702607616,HD139324,HIP76398,-,TIC16915763,-,-,-,G5,PM*,234.0528,35.7054,50.327,7.49,0
368,HD144579,Gaia DR3 1379500756257031808,HD144579,HIP78775,GJ611A,TIC24089803,-,-,J16048+3910A,G8V,PM*,241.2366,39.1565,14.359,6.655,0
369,HD145435,Gaia DR3 1380263027052621696,HD145435,HIP79152,-,TIC310517307,-,-,-,F5,PM*,242.3229,41.0952,36.769,6.702,0
370,HD142373,Gaia DR3 1384195086792268800,HD142373,HIP77760,GJ602,TIC157364190,-,1Her+chiHer,-,F8VFe-2Hdel-,PM*,238.1689,42.4515,15.898,4.613,0
371,14Her,Gaia DR3 1385293808145621504,HD145675,HIP79248,GJ614,TIC219483057,-,14Her,J16104+4349A,K0V,PM*,242.6013,43.8176,17.9,6.619,0
372,mu.02BooB,Gaia DR3 1387349065960639232,HD137392B,-,GJ3904B,-,-,mu.02BooB,J15245+3723Bb,-,PM*,231.1287,37.3479,36.748,7.579,0
373,mu.02BooA,Gaia DR3 1387349065967311744,-,-,GJ3904A,-,-,mu.02BooA,J15245+3723Ba,-,PM*,231.1286,37.3473,36.735,6.991,0
374,HD136580,Gaia DR3 1389312523145493760,HD136580,HIP75039,-,TIC138295548,-,-,-,F7V,PM*,230.0097,40.9842,40.811,6.904,0
375,HD139341A,Gaia DR3 1389522117550541056,HD139341A,-,GJ591A+GJ593A,-,-,-,J15360+3948A,-,SB*,234.0094,39.8024,22.524,7.496,0
376,HD139341B,Gaia DR3 1389522117550542464,HD139341B,-,GJ591B+GJ593B,-,-,-,J15360+3948B,-,PM*,234.0093,39.8027,22.557,7.409,0
377,HD139323,Gaia DR3 1389522392427772288,HD139323,HIP76375,GJ591,TIC148817611,-,-,J15360+3948C,K3V,PM*,233.9857,39.8311,22.44,7.65,0
378,HD138004,Gaia DR3 1391009653702531072,HD138004,HIP75676,-,TIC116385975,-,-,J15277+4253A,G2III,PM*,231.9181,42.8813,32.194,7.48,0
379,HD137870,Gaia DR3 1394846433887239552,HD137870,HIP75595,-,TIC116384918,-,-,-,F8,PM*,231.6818,45.6039,55.552,7.17,0
380,HD141399,Gaia DR3 1398218223733415552,HD141399,HIP77301,-,TIC156067565,-,-,-,K0,PM*,236.7242,46.9863,37.052,7.209,0
381,HD149105,Gaia DR3 1410183796461158912,HD149105,HIP80818,-,TIC307917996,-,-,-,G0V,PM*,247.5623,47.9524,52.12,7.014,0
382,HD151044,Gaia DR3 1412260533408744832,HD151044,HIP81800,-,TIC274242146,-,-,-,F8V,PM*,250.6159,49.9364,29.296,6.478,0
383,HD158096,Gaia DR3 1414760857209318528,HD158096,HIP85196,-,TIC188766488,-,-,-,G5,PM*,261.1549,50.6858,54.453,7.57,1
384,HD158259,Gaia DR3 1416050859226670848,HD158259,HIP85268,-,TIC188768068,-,-,-,G5VmF9,PM*,261.3502,52.7907,27.014,6.479,1
385,HD154905,Gaia DR3 1420101696285626624,HD154905,HIP83608B,GJ9584B,-,-,21DraB+mu.DraB,J17053+5428B,F6V,SB*,256.3342,54.4706,27.181,5.685,1
386,HD154906,Gaia DR3 1420101696287738368,HD154906,HIP83608A,GJ9584+GJ9584A,-,-,21DraA+mu.DraA,J17053+5428A,F6V,PM*,256.3339,54.47,27.203,4.915,1
387,HD148049,Gaia DR3 1423602030208324864,HD148049,HIP80264,-,TIC162631539,-,-,-,F8,PM*,245.7795,50.3442,50.401,7.42,0
388,HD148329,Gaia DR3 1428737952100331520,HD148329,HIP80364,-,TIC207468713,-,-,-,G1,PM*,246.0727,55.332,44.029,6.953,0
389,HD155902,Gaia DR3 1432617510160019200,HD155902,HIP84062,GJ3993,TIC198384408,-,-,-,G5,PM*,257.7851,56.6592,28.019,6.996,1
390,HD160078,Gaia DR3 1435686899947703552,HD160078,HIP85964,-,TIC219776694,-,-,-,F5,PM*,263.5383,60.0894,61.215,7.28,1
391,HD160269A,Gaia DR3 1439121018358632832,HD160269A,HIP86036,GJ684A,TIC219777482,-,26Dra+26DraA,J17350+6153A,G0IV-V,SB*,263.7484,61.8745,14.434,5.232,1
392,HD118244,Gaia DR3 1442169070750037760,HD118244,HIP66290,-,TIC207386596,-,-,-,F5V,SB*,203.7976,22.4998,34.171,6.873,0
393,HD120476a,Gaia DR3 1451450048399808384,HD120476A,-,GJ528A,TIC359220741,-,-,J13491+2659A,K4V,PM*,207.2667,26.9799,13.496,7.515,0
394,HD122652,Gaia DR3 1454450340753382272,HD122652,HIP68593,-,TIC232527921,-,-,-,F8,PM*,210.6318,31.6609,39.579,7.167,0
395,HD120005,Gaia DR3 1455771129096411904,HD120005,HIP67195,-,TIC165760083,-,-,-,F6V,SB*,206.5572,30.897,42.308,6.512,0
396,HD114710,Gaia DR3 1460229442589223424,HD114710,HIP64394,GJ502,TIC445070560,-,43Com+betCom,J13119+2753A,F9.5V,PM*,197.9683,27.8782,9.198,4.24,0
397,HD113319,Gaia DR3 1467164096785657088,HD113319,HIP63636,-,TIC165978900,-,-,-,G4V,PM*,195.6394,32.4333,31.746,7.51,0
398,HD127334,Gaia DR3 1491593733326694912,HD127334,HIP70873,GJ3852,TIC27525457,-,-,-,G5VCH0.3,PM*,217.4034,41.7959,23.39,6.365,0
399,HD120004,Gaia DR3 1496343623558534656,HD120004,HIP67177,-,TIC22953415,-,-,-,F8,PM*,206.5015,37.525,55.337,7.59,0
400,HD124694,Gaia DR3 1506060076532072192,HD124694,HIP69518,-,TIC168704717,-,-,-,F8V,PM*,213.4639,46.3252,39.178,7.19,0
401,HD109839,Gaia DR3 1521428118055816960,HD109839,HIP61619,-,TIC155251038,-,-,-,F5V,PM*,189.413,38.6844,54.235,7.34,0
402,10CVn,Gaia DR3 1521686782461765888,HD110897,HIP62207,GJ484,TIC389853353,-,10CVn,-,F9V_Fe-0.3,PM*,191.2475,39.2789,17.557,5.956,0
403,HD109358,Gaia DR3 1534011998572555776,HD109358,HIP61317,GJ475,TIC458445966,-,8CVn+betCVn,J12337+4121A,G0V,**,188.4356,41.3575,8.473,4.247,0
404,HD105405,Gaia DR3 1536014999519656064,HD105405,HIP59175,-,TIC21598259,-,-,-,F8,PM*,182.029,39.6555,47.33,7.33,0
405,HD105631,Gaia DR3 1536064958579187840,HD105631,HIP59280,GJ3706,TIC21623610,-,-,-,G9V,PM*,182.4052,40.2521,25.044,7.465,0
406,HD109344,Gaia DR3 1541410612315073536,HD109344,HIP61310,-,TIC75584292,-,-,-,F8,PM*,188.4128,44.0962,54.125,7.496,0
407,HD108574,Gaia DR3 1541667932396172800,HD108574,HIP60831,-,TIC157968700,-,-,J12281+4448A,F9V,PM*,187.0185,44.7943,45.339,7.5,0
408,HD119124,Gaia DR3 1558718059209082752,HD119124,HIP66704,GJ521.2+GJ521.2A+GJ9457A,TIC286946484,-,-,J13404+5031A,F8V,PM*,205.0968,50.5194,25.524,6.334,0
409,HD119992,Gaia DR3 1562409119742512128,HD119992,HIP67103,-,TIC141821518,-,-,-,F7V,PM*,206.305,55.8793,34.187,6.5,0
410,HD114446,Gaia DR3 1564925317742776704,HD114446,HIP64208,-,TIC147624120,-,-,-,F9IV-V,PM*,197.3884,56.8334,53.784,7.036,0
411,HD116956,Gaia DR3 1565867461768654208,HD116956,HIP65515,-,TIC159190692,-,-,J13258+5658A,G9V,BY*,201.4397,56.9705,21.649,7.29,0
412,HD115043,Gaia DR3 1566224665609504128,HD115043,HIP64532,GJ503.2+GJ503.2A+GJ9434,TIC157272202,-,-,J13136+5643A,G1Va,PM*,198.4042,56.7083,25.161,6.827,0
413,HD110833,Gaia DR3 1568219729458240128,HD110833,HIP62145,GJ483,TIC157871565,-,-,J12442+5146A,K3,SB*,191.0606,51.7593,14.503,7.027,0
414,HD108954,Gaia DR3 1569335115284976000,HD108954,HIP61053,-,TIC141249230,-,-,-,F9V,PM*,187.7089,53.0766,22.309,6.208,0
415,HD111513,Gaia DR3 1580311917821099776,HD111513,HIP62527,-,TIC142276979,-,-,-,G1,PM*,192.2047,61.3784,39.354,7.364,0
416,HD108134,Gaia DR3 1581755198632350336,HD108134,HIP60588,-,TIC417931249,-,-,-,G0p,PM*,186.2714,60.6974,40.217,7.38,0
417,HD132254,Gaia DR3 1592338513445876608,HD132254,HIP73100,GJ3880,TIC309765388,-,-,-,F8-V,PM*,224.096,49.6284,25.159,5.639,0
418,HD141039,Gaia DR3 1596763532351243392,HD141039,HIP77084,-,TIC159838529,-,-,-,G5,PM*,236.0902,52.9836,42.7,7.372,0
419,HD138367,Gaia DR3 1602402034136426752,HD138367,HIP75783,-,TIC165764315,-,-,J15289+5727A,F7V,PM*,232.2164,57.4452,44.052,6.917,0
420,HD128165,Gaia DR3 1605198298364601088,HD128165,HIP71181,GJ556,TIC357373129,-,-,-,K3,PM*,218.3703,52.9088,13.233,7.24,0
421,HD131194,Gaia DR3 1605686447168075392,HD131194,HIP72563,-,TIC161024940,-,-,-,F5,PM*,222.5567,52.4144,56.336,7.146,0
422,HD126675,Gaia DR3 1608397975984282368,HD126675,HIP70499,-,TIC441708762,-,-,-,F8,PM*,216.316,53.585,40.273,7.11,0
423,HD128332,Gaia DR3 1610729219809525888,HD128332,HIP71251,-,TIC311069416,-,-,-,F6V,PM*,218.5664,57.0653,29.354,6.468,0
424,HD133826,Gaia DR3 1621217529945980800,HD133826,HIP73623,-,TIC202422252,-,-,-,G0,PM*,225.7454,65.7783,39.463,7.341,0
425,HD153344,Gaia DR3 1630727858849714176,HD153344,HIP82750,-,TIC287152045,-,-,-,G5IV,PM*,253.6916,62.0999,40.327,7.071,0
426,HD153597,Gaia DR3 1635375460142367104,HD153597,HIP82860,GJ648,TIC289622310,-,19Dra+hDra,J16564+6502C,F8V,SB*,254.007,65.1348,15.316,4.886,0
427,HD158633,Gaia DR3 1637110042813188608,HD158633,HIP85235,GJ675,TIC1400994843+TIC219880402,-,-,-,K0,PM*,261.2504,67.3067,12.792,6.398,0
428,HD143105,Gaia DR3 1646538011423566464,HD143105,HIP77838,-,TIC272783172,-,-,-,F5,*,238.4023,68.7201,46.608,6.77,0
429,HD140412,Gaia DR3 1647299869902273408,HD140412,HIP76604,-,TIC272680526,-,-,-,F5,PM*,234.6721,68.822,55.912,7.45,0
430,HD144061,Gaia DR3 1647986068237087104,HD144061,HIP78217,-,TIC237096607,-,-,J15583+7054A,G2V,PM*,239.5876,70.8944,29.602,7.262,0
431,HD151541,Gaia DR3 1648568843759668480,HD151541,HIP81813,GJ637.1+GJ9576,TIC230123572,-,-,-,K1,PM*,250.6607,68.1022,24.174,7.559,0
432,HD162004,Gaia DR3 1651268763282397312,HD162004,HIP86620,GJ694.1B+GJ9602B,TIC441804565,-,31DraB+psi01DraB,J17419+7209B,F8V,PM*,265.4921,72.1569,22.702,5.808,0
433,HD161897,Gaia DR3 1651469733391948288,HD161897,HIP86540,-,TIC441801208,-,-,J17411+7225A,K0,PM*,265.2779,72.4203,29.98,7.6,0
434,HD148004,Gaia DR3 1652932530531522432,HD148004,HIP79981,-,TIC230077650,-,-,-,F8,PM*,244.8867,70.3686,43.643,7.52,0
435,HD148941,Gaia DR3 1653270595998453504,HD148941,HIP80467,-,TIC230085290,-,-,J16255+7123A,F8,*,246.3718,71.3846,35.336,7.114,0
436,HD154181A,Gaia DR3 1656220516976649088,HD154181A,HIP82886,-,TIC441716374,-,-,J16563+7417A,F6V,PM*,254.0787,74.2826,49.486,7.107,0
437,HD123300,Gaia DR3 1659915425801141632,HD123300,HIP68792,-,TIC441663519,-,-,-,G5,PM*,211.2149,58.8675,46.704,7.58,0
438,HD122064,Gaia DR3 1661568850770761600,HD122064,HIP68184,-,TIC202380743,-,-,-,K3V,PM*,209.3836,61.4929,10.067,6.497,0
439,HD117043,Gaia DR3 1665517334465010432,HD117043,HIP65530,GJ511.1,TIC355916910,-,-,-,G6V,PM*,201.4994,63.2613,20.882,6.51,0
440,HD126323,Gaia DR3 1666363752260912640,HD126323,HIP70252,-,TIC166090806,-,-,-,G0,PM*,215.6205,60.9657,41.639,7.4,0
441,HD130460,Gaia DR3 1668845350004416256,HD130460,HIP72130,-,TIC282855338,-,-,-,F5,PM*,221.3192,65.33,47.081,7.22,0
442,HD128385,Gaia DR3 1668986018773531776,HD128385,HIP71192,-,TIC232979046,-,-,-,F5,SB*,218.3981,65.3954,30.487,6.616,0
443,HD129499,Gaia DR3 1669516773651710464,HD129499,HIP71679,-,TIC219003568,-,-,-,G5,*,219.9154,66.3468,53.679,7.38,0
444,HD121953,Gaia DR3 1671271903447240576,HD121953,HIP68085,-,TIC358767963,-,-,-,F5,SB*,209.1051,65.3507,55.792,7.59,0
445,HD109413,Gaia DR3 1689791802427582592,HD109413,HIP61293,-,TIC154561824,-,-,-,F8,SB*,188.3923,72.4791,49.508,7.5,0
446,9UMi,Gaia DR3 1695571110421334144,HD133621,HIP73440,-,TIC233186332,-,9UMi,-,G0,SB*,225.1123,71.7655,34.711,6.659,0
447,HD200580,Gaia DR3 1730458373852682752,HD200580,HIP103987,-,TIC419262941,-,-,J21041+0300AB,F9V,SB*,316.0308,2.9945,62.703,7.278,0
448,HD202884,Gaia DR3 1743504800870418432,HD202884,HIP105202,-,TIC262277103,-,-,-,F5,PM*,319.6549,8.9597,43.071,7.27,0
449,HD204712,Gaia DR3 1745973032680936704,HD204712,HIP106157,-,TIC96704587,-,-,-,F5V,PM*,322.5352,12.2707,67.83,7.62,0
450,HD202908,Gaia DR3 1746335802793081344,HD202908,HIP105200,-,TIC262275042,-,-,J21186+1134AB,G0V+G6V,**,319.6454,11.5688,51.694,7.016,0
451,HD196885A,Gaia DR3 1754430373040023168,HD196885A,HIP101966,-,TIC282257777,-,-,J20399+1115Aa,F8V,SB*,309.9662,11.2496,34.005,6.397,0
452,HD198089,Gaia DR3 1761037029171296000,HD198089,HIP102610,-,TIC85213581,-,-,-,F8,*,311.9078,12.9862,40.103,7.43,0
453,HD197913A,Gaia DR3 1762987494080694016,HD197913A,-,-,TIC85085021,-,-,J20462+1554A,G8,RS*,311.5554,15.9073,36.645,7.09,0
454,HD198109,Gaia DR3 1763093218997965312,HD198109,HIP102611,-,TIC85218473,-,-,-,F9Vw,PM*,311.91,16.2384,55.186,7.6,0
455,HD206860,Gaia DR3 1772187382746856320,HD206860,HIP107350,GJ836.7+GJ9751,TIC301880196,-,-,J21445+1446A,G0V+,BY*,326.1306,14.7719,18.133,5.977,0
456,HD210483,Gaia DR3 1776388204359891712,HD210483,HIP109450,-,TIC258783637,-,-,-,G4,PM*,332.609,18.7971,50.94,7.59,0
457,33Peg,Gaia DR3 1778551970227817728,HD212395,HIP110548,-,TIC279563894,-,33Peg,J22237+2051AB,F7IV,**,335.9149,20.8483,33.543,6.218,0
458,HD204277,Gaia DR3 1784061008815679232,HD204277,HIP105918,-,TIC268215639,-,-,-,F8V,PM*,321.7776,16.1242,33.055,6.726,0
459,HD205160A,Gaia DR3 1787693589076213632,HD205160A,-,-,TIC283494365,-,-,J21330+2043A,F6IV,*,323.243,20.7114,59.606,7.556,0
460,HD201891,Gaia DR3 1787990525934491776,HD201891,HIP104659,-,TIC230168635,-,-,-,G5V_Fe-2.5,Pe*,317.996,17.7277,33.47,7.371,0
461,HD201545,Gaia DR3 1789231256087445120,HD201545,HIP104471,-,TIC257444121,-,-,-,F8V,*,317.4412,19.2107,43.82,6.965,0
462,HD206374,Gaia DR3 1800378139330660992,HD206374,HIP107070,-,TIC248046660,-,-,-,G6.5V,PM*,325.2758,26.7507,27.162,7.467,0
463,HD206332,Gaia DR3 1801257095797922048,HD206332,HIP107040,-,TIC248039969,-,-,-,G0V,PM*,325.1794,28.7557,47.205,7.409,0
464,HD194012,Gaia DR3 1805044913356835328,HD194012,HIP100511,GJ789,TIC456398764,-,-,-,F7V,PM*,305.7182,14.5511,26.041,6.166,0
465,HD190516,Gaia DR3 1807876151501164032,HD190516,HIP98879,-,TIC258964346,-,-,J20048+1554A,G0V,PM*,301.1952,15.9031,41.332,7.338,0
466,HD190067,Gaia DR3 1807953155988203264,HD190067,HIP98677,GJ775.1+GJ9681,TIC418189606,-,-,J20026+1536A,K0VFe-0.9,PM*,300.6423,15.5921,19.262,7.166,0
467,HD191785,Gaia DR3 1809360187275432832,HD191785,HIP99452,GJ783.2A,TIC87216634,-,-,J20111+1611A,K0V,PM*,302.7753,16.188,20.439,7.351,0
468,HD191499A,Gaia DR3 1809456806859123584,HD191499A,-,-,TIC86876073,-,-,J20096+1648A,-,PM*,302.3929,16.8058,24.797,7.56,0
469,HD197076,Gaia DR3 1814241194252808704,HD197076,HIP102040,GJ797A,TIC330872058,-,-,J20408+1956A,G5V,PM*,310.1881,19.9355,20.944,6.44,0
470,HD195019,Gaia DR3 1815418118373631360,HD195019,HIP100970,-,TIC210171104,-,-,J20283+1846A,G1V,PM*,307.0777,18.7695,37.528,6.876,0
471,HD195034,Gaia DR3 1818697205647102720,HD195034,HIP100963,-,TIC210119810,-,-,-,G5,PM*,307.0492,22.129,28.152,7.089,0
472,15Sge,Gaia DR3 1821708351374312064,HD190406,HIP98819,GJ779,TIC275240386,-,15Sge,J20041+1704A,G0V,PM*,301.0259,17.0702,17.772,5.794,0
473,HD189733A,Gaia DR3 1827242816201846144,HD189733A,HIP98505,GJ4130,TIC256364928,-,-,J20007+2243A,K2V,BY*,300.1821,22.7109,19.776,7.67,0
474,HD190404,Gaia DR3 1833199729671740800,HD190404,HIP98792,GJ778,TIC287947139,-,-,-,K1V,PM*,300.9672,23.3407,15.622,7.274,0
475,HD189067,Gaia DR3 1834178638618346112,HD189067,HIP98206,-,TIC282283170,-,-,-,G2V,PM*,299.3324,24.0882,43.2,7.202,0
476,HD200254,Gaia DR3 1837738822887425536,HD200254,HIP103784,-,TIC258531136,-,-,-,G5,PM*,315.4625,21.1054,50.681,7.64,0
477,HD199598,Gaia DR3 1844639838900425472,HD199598,HIP103455,-,TIC247250544,-,-,J20577+2624AB,G0V,**,314.4153,26.4052,31.973,6.934,0
478,HD200391,Gaia DR3 1845206534070618624,HD200391,HIP103833,-,TIC126336928,-,-,-,G0V+G5V,Ae*,315.6079,27.8073,50.502,7.345,0
479,HD202108,Gaia DR3 1852732141404704512,HD202108,HIP104733,-,TIC76957315,-,-,-,G3V,PM*,318.2401,30.8095,27.162,7.329,0
480,HD197310,Gaia DR3 1870443315230650240,HD197310,-,-,TIC99896567,-,-,-,G0,PM*,310.4215,35.5457,34.634,7.424,0
481,61CygB,Gaia DR3 1872046574983497216,HD201092,HIP104217,GJ820B,TIC165602023,-,61CygB,J21069+3845B,K7V,PM*,316.7303,38.742,3.496,6.07,0
482,61CygA,Gaia DR3 1872046609345556480,HD201091,HIP104214,GJ820A,TIC165602000,-,61CygA,J21069+3845A,K5V,BY*,316.7248,38.7494,3.497,5.24,0
483,HD200325,Gaia DR3 1873204223289046272,HD200325,HIP103749,-,TIC196217196,-,-,J21014+4037AB,F5,**,315.3588,40.618,49.107,7.166,0
484,HD200077,Gaia DR3 1873356986678591744,HD200077,HIP103641,-,TIC196029004,-,-,J20599+4016Aa,F8,SB*,314.9803,40.2588,40.534,6.578,0
485,HD216631,Gaia DR3 1891174366442281728,HD216631,HIP113076,-,TIC188907228,-,-,-,F8,PM*,343.5085,34.1987,44.089,7.61,0
486,HD210027,Gaia DR3 1891598193816300544,HD210027,HIP109176,GJ848,TIC357336603,-,24Peg+iotPeg+iotPegA+iotPegB,J22070+2521A,F5V,SB*,331.7528,25.3451,11.904,3.772,0
487,HD208906,Gaia DR3 1896891139712235008,HD208906,HIP108490,-,TIC18032286,-,-,J21587+2949A,G0VmF2,PM*,329.6701,29.8126,29.247,6.912,0
488,HD208313,Gaia DR3 1898230241798771584,HD208313,HIP108156,GJ840,TIC399897311,-,-,-,K1,BY*,328.6876,32.3286,20.376,7.73,0
489,HD210388,Gaia DR3 1900442940229593216,HD210388,HIP109361,-,TIC162457231,-,-,J22094+3508AB,G0,**,332.3437,35.1292,45.381,7.465,0
490,HD210667,Gaia DR3 1906647037667895424,HD210667,HIP109527,GJ850,TIC119514195,-,-,-,G9V,BY*,332.7996,36.2563,22.478,7.266,0
491,HD213391,Gaia DR3 1909443027017954944,HD213391,HIP111081,-,TIC120599496,-,-,J22302+4058A,F5,*,337.5536,40.9655,51.771,7.41,0
492,HD221757,Gaia DR3 1918953867019478144,HD221757,HIP116360,-,TIC333374017,-,-,J23347+3748AB,F8,SB*,353.6718,37.7999,51.573,7.231,0
493,HD221613,Gaia DR3 1924124427825883904,HD221613,HIP116259,GJ9830,TIC176640151,-,-,J23334+4251AB,G0,SB*,353.3503,42.8466,34.218,7.165,0
494,HD215760,Gaia DR3 1929123838477867392,HD215760,HIP112475,-,TIC129128445,-,-,-,F8,PM*,341.7323,39.4172,57.335,7.58,0
495,6And,Gaia DR3 1931708859034495488,HD218804,HIP114430,-,TIC455817128,-,6And,-,F5V,SB*,347.6135,43.544,28.128,5.874,0
496,HD218868,Gaia DR3 1935133906477014016,HD218868,HIP114456,-,TIC455819325,-,-,J23108+4531A,G8V,PM*,347.7086,45.5123,23.549,6.985,0
497,HD220182,Gaia DR3 1937003729077791616,HD220182,HIP115331,GJ894.4+GJ9823,TIC173925925,-,-,-,G9V,BY*,350.4021,44.0979,21.432,7.357,0
498,HD220821,Gaia DR3 1937497444157480320,HD220821,HIP115715,-,TIC174158125,-,-,J23266+4520A,G2,PM*,351.6682,45.3381,35.06,7.36,0
499,HD219306,Gaia DR3 1937681165678188928,HD219306,HIP114729,-,TIC173611213,-,-,-,F5,PM*,348.6084,43.6981,64.084,7.49,0
500,HD222143,Gaia DR3 1939093660163197312,HD222143,HIP116613,GJ4351,TIC176791985,-,-,-,G2,BY*,354.4937,46.1994,22.809,6.587,0
501,HD224465,Gaia DR3 1940954617956840192,HD224465,HIP118162,GJ4382,TIC346546437,-,-,-,G4V,SB*,359.5284,50.4477,24.549,6.741,0
502,HD218949,Gaia DR3 1942205346789877632,HD218949,HIP114512,-,TIC173464265,-,-,-,G5,PM*,347.9114,47.0987,45.01,7.216,0
503,HD218739,Gaia DR3 1942533104334263552,HD218739,HIP114385,-,TIC173418717,-,-,J23100+4758A,G1V,PM*,347.4953,47.9594,30.311,7.149,0
504,HD222155,Gaia DR3 1943363751009454976,HD222155,HIP116616,-,TIC26370518,-,-,-,G0,PM*,354.5013,48.9965,50.5,7.117,0
505,HD212107,Gaia DR3 1962417840846148864,HD212107,HIP110339,-,TIC199600136,-,-,-,F5,PM*,335.2144,46.0622,48.579,7.43,0
506,HD203454,Gaia DR3 1965602679357877504,HD203454,HIP105406,-,TIC373445744,-,-,-,F8V,SB*,320.2559,40.345,26.689,6.397,0
507,HD210731,Gaia DR3 1975429427091671808,HD210731,-,-,TIC455681786,-,-,-,F8,*,332.8383,47.1479,42.302,7.393,0
508,HD209203,Gaia DR3 1981577552520559616,HD209203,HIP108602,-,TIC469798614,-,-,-,F8,*,330.0094,54.1076,47.234,7.54,0
509,HD214557,Gaia DR3 1983331651514526336,HD214557,HIP111748,-,TIC200607569,-,-,-,F8,PM*,339.5485,45.8278,51.33,7.064,0
510,HD216275,Gaia DR3 1990119967591008384,HD216275,HIP112812,-,TIC67069964,-,-,-,G0,PM*,342.6931,52.0614,32.271,7.218,0
511,HD218790A,Gaia DR3 1990678072815187840,HD218790A,-,-,TIC252724461,-,-,J23104+4901A,-,PM*,347.5887,49.0183,45.056,7.29,0
512,HD223788,Gaia DR3 1993638920193452160,HD223788,HIP117733,-,TIC65275623,-,-,J23506+5412C,F5,*,358.1653,54.2688,54.655,7.57,0
513,HD219623,Gaia DR3 1995681125599758592,HD219623,HIP114924,GJ4324,TIC24467943,-,-,J23167+5313A,F8V,PM*,349.1763,53.2135,20.61,5.584,0
514,HD222794,Gaia DR3 1999127682240390528,HD222794,HIP117029,-,TIC345518694,-,-,J23435+5805A,G2V,**,355.8627,58.0803,45.472,7.144,0
